_id,chTitle,id,subscriberCount,uploads,videoCount,viewCount
64121d5f8e1af74d0e3c7bfe,raji Official,UC4zY44KFXhBtmXk0V_b3oRw,530,UU4zY44KFXhBtmXk0V_b3oRw,146,40080
64121d5f8e1af74d0e3c7bff,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,69500000,UU3IZKseVpdzPSBaWxBxundA,1115,935595616
64121d5f8e1af74d0e3c7c00,ENHAPINK,UCUCgKYQHP3fLLhlGSB7J3bA,93000,UUUCgKYQHP3fLLhlGSB7J3bA,2,842
64121d5f8e1af74d0e3c7c01,The Circle Pit,UC1rA59h7xw_o0ZCp2DzuTxg,49500,UU1rA59h7xw_o0ZCp2DzuTxg,1722,12194870
64121d5f8e1af74d0e3c7c02,O.T. Genasis,UCe0WYC4JoWndJ48PK1xRuJA,2220000,UUe0WYC4JoWndJ48PK1xRuJA,58,919453326
64121d5f8e1af74d0e3c7c03,MiyaviVEVO,UCDxR8vsnz_zBckPWj3wEVOQ,109000,UUDxR8vsnz_zBckPWj3wEVOQ,30,53903872
64121d5f8e1af74d0e3c7c04,GONZO,UC-WN38FEwiTspqtLH2nhVFA,30100,UU-WN38FEwiTspqtLH2nhVFA,25,3124261
64121d5f8e1af74d0e3c7c05,GENIC,UCvCtSa1pWNTC0GnnkhbJw-w,31400,UUvCtSa1pWNTC0GnnkhbJw-w,169,11307256
64121d5f8e1af74d0e3c7c06,Umar M Shareef,UCrxit7l9KKXbxqo3nExm6Bw,298000,UUrxit7l9KKXbxqo3nExm6Bw,159,46103088
64121d5f8e1af74d0e3c7c07,a子,UCOeG6YTLjO7JApWPl_q0D-A,18000,UUOeG6YTLjO7JApWPl_q0D-A,29,2196857
64121d5f8e1af74d0e3c7c08,久保あおい,UCQY7gFOuu0hF2v56CjfOXbA,20600,UUQY7gFOuu0hF2v56CjfOXbA,67,4388402
64121d5f8e1af74d0e3c7c09,HY Official,UCjk0vxDFjZCdiZ6keN1KtgQ,125000,UUjk0vxDFjZCdiZ6keN1KtgQ,120,156092476
64121d5f8e1af74d0e3c7c0a,YOU Entertainment,UCsrXUkIqkTT2qCt0emEe1Lw,43200,UUsrXUkIqkTT2qCt0emEe1Lw,1404,11451506
64121d5f8e1af74d0e3c7c0b,TV ASAHI MUSIC,UClvt7FLjIobNc93MqL8p8ow,36000,UUlvt7FLjIobNc93MqL8p8ow,31,106947086
64121d5f8e1af74d0e3c7c0c,friend zone,UCLViD3boRAdEUHGHOGcg3cw,1910,UULViD3boRAdEUHGHOGcg3cw,48,531386
64121d5f8e1af74d0e3c7c0d,4Minute 포미닛(Official YouTube Channel),UC_Dm4o5UrbPr2uvM7VPUR6g,2140000,UU_Dm4o5UrbPr2uvM7VPUR6g,82,1364308036
64121d5f8e1af74d0e3c7c0e,シワェイ,UCe9OVteAembyp7Oa1Qdul3Q,163,UUe9OVteAembyp7Oa1Qdul3Q,36,64073
64121d5f8e1af74d0e3c7c0f,Hades The Pineapple,UCqUkIz87PLsAuXJymb9c2Zg,139,UUqUkIz87PLsAuXJymb9c2Zg,15,307783
64121d5f8e1af74d0e3c7c10,OneManReacts,UCxBbvHs14otMCEeIYhw4ghw,6050,UUxBbvHs14otMCEeIYhw4ghw,755,664040
64121d5f8e1af74d0e3c7c11,MASTER SINGER IMPRESSIONIST JOEY VOICES,UC-oRW4WS7VcNc3Q00684jWQ,1340,UU-oRW4WS7VcNc3Q00684jWQ,46,542904
