_id,chTitle,id,subscriberCount,uploads,videoCount,viewCount
6412243a8e1af74d0e3c7d79,Yoka,UCFF1rjI_JlM6wlHep8YMvRw,140,UUFF1rjI_JlM6wlHep8YMvRw,27,101863
6412243a8e1af74d0e3c7d7a,BE:FIRST Official,UCi_AquB9uaI3-9xXkuWG7IQ,261000,UUi_AquB9uaI3-9xXkuWG7IQ,264,314225560
6412243a8e1af74d0e3c7d7b,"Δndre'i Soundworld™",UCKUcZoNCg7RCvd7iaG0WMNw,122,UUKUcZoNCg7RCvd7iaG0WMNw,42,24906
6412243a8e1af74d0e3c7d7c,chorde1989,UCCjmHgy1s4PSED_eHY6Qp7Q,1370,UUCjmHgy1s4PSED_eHY6Qp7Q,23,325213
6412243a8e1af74d0e3c7d7d,ぐちり / Guchiry,UC3aIH4ewewheZobgRskmQSw,84400,UU3aIH4ewewheZobgRskmQSw,58,18445953
6412243a8e1af74d0e3c7d7e,KIRINJIVEVO,UCG4RD6yEHkemqL9tVO_sQDA,31500,UUG4RD6yEHkemqL9tVO_sQDA,8,8192906
6412243a8e1af74d0e3c7d7f,STEREOPONYVEVO,UC7rV7HZaWyQJNm2UqHvKm_Q,272000,UU7rV7HZaWyQJNm2UqHvKm_Q,3,90578348
6412243a8e1af74d0e3c7d80,GReeeeNVEVO,UCAp7biVgschwGLlBTzncB2g,210000,UUAp7biVgschwGLlBTzncB2g,49,475627849
6412243a8e1af74d0e3c7d81,GenesisJames,UCZea7eizLiTHbrx9SPJkmKw,183,UUZea7eizLiTHbrx9SPJkmKw,167,19310
6412243a8e1af74d0e3c7d82,Arwicial Vibes,UCtQiXAWyLKt-xgW6qZGnFlQ,339000,UUtQiXAWyLKt-xgW6qZGnFlQ,46,109145207
6412243a8e1af74d0e3c7d83,MECRE Official,UCISAnAHCURVxlpFdR1jLF5Q,16200,UUISAnAHCURVxlpFdR1jLF5Q,25,8451194
6412243a8e1af74d0e3c7d84,black random videos,UCyPMZSasQACFhR58HujrQbg,671,UUyPMZSasQACFhR58HujrQbg,224,339936
6412243a8e1af74d0e3c7d85,AyChristene,UCb9F1guxTPSBI-TIj1HtoyA,708000,UUb9F1guxTPSBI-TIj1HtoyA,3279,243281404
6412243a8e1af74d0e3c7d86,Umar M Shareef,UCrxit7l9KKXbxqo3nExm6Bw,300000,UUrxit7l9KKXbxqo3nExm6Bw,159,46405851
6412243a8e1af74d0e3c7d87,GONZO,UC-WN38FEwiTspqtLH2nhVFA,30300,UU-WN38FEwiTspqtLH2nhVFA,25,3217218
6412243a8e1af74d0e3c7d88,Sarina ,UCW6i7tEh4U55vw-MixZbp4g,9290,UUW6i7tEh4U55vw-MixZbp4g,75,1075418
6412243a8e1af74d0e3c7d89,きのぽっぽ応援隊,UCSr7v5Xe6cb3e3Nw3CGPpiQ,19100,UUSr7v5Xe6cb3e3Nw3CGPpiQ,236,3556812
6412243a8e1af74d0e3c7d8a,シワェイ,UCe9OVteAembyp7Oa1Qdul3Q,164,UUe9OVteAembyp7Oa1Qdul3Q,36,64732
6412243a8e1af74d0e3c7d8b,はてな Official YouTube Channel,UCCH_yBOBENqSJbDCCQ9Hhnw,9690,UUCH_yBOBENqSJbDCCQ9Hhnw,5,2511975
6412243a8e1af74d0e3c7d8c,Music Collection (Mコレ),UCnQhuYY0OGvOV_VVGA_hyUQ,21900,UUnQhuYY0OGvOV_VVGA_hyUQ,573,15992962
6412243a8e1af74d0e3c7d8d,Mario Moton,UC99svMXmAtqph-lRLwotBLA,34000,UU99svMXmAtqph-lRLwotBLA,50,6744439
6412243a8e1af74d0e3c7d8e,THE RAMPAGE from EXILE TRIBE,UCYI3GYW6aVsxr0NZW86kKXQ,17000,UUYI3GYW6aVsxr0NZW86kKXQ,249,103996424
6412243a8e1af74d0e3c7d8f,えぬ,UCitHJvYezLwFuLPQ6kMgDhw,26300,UUitHJvYezLwFuLPQ6kMgDhw,9,4287835
6412243a8e1af74d0e3c7d90,YVY MARAEY,UCjSztjNoeFSsfkqBI7mfC6A,770,UUjSztjNoeFSsfkqBI7mfC6A,3,122262
6412243a8e1af74d0e3c7d91,Redeemed,UCIOTfTFr_raiiVai2Z_9_0w,19,UUIOTfTFr_raiiVai2Z_9_0w,120,2001
6412243a8e1af74d0e3c7d92,HY Official,UCjk0vxDFjZCdiZ6keN1KtgQ,125000,UUjk0vxDFjZCdiZ6keN1KtgQ,120,156455605
6412243a8e1af74d0e3c7d93,andropVEVO,UCrWO41Q11z0R2SXE9oMTIIw,7410,UUrWO41Q11z0R2SXE9oMTIIw,6,21499727
6412243a8e1af74d0e3c7d94,Billy Knight,UC1_DdIPCcZ1Cg-eYEBwXYLQ,20,UU1_DdIPCcZ1Cg-eYEBwXYLQ,4,2098
6412243a8e1af74d0e3c7d95,Annelumusic,UCS0Hv8macwevqc0GSfSnrsg,203,UUS0Hv8macwevqc0GSfSnrsg,11,30226
6412243a8e1af74d0e3c7d96,Sekakoi,UCY2dkzwzcNB2pSytK_jqMsg,7,UUY2dkzwzcNB2pSytK_jqMsg,69,1697
6412243a8e1af74d0e3c7d97,TG Officially,UC5jqx018WF-UA1PpkLD7gRA,152000,UU5jqx018WF-UA1PpkLD7gRA,313,13701098
6412243a8e1af74d0e3c7d98,AMINU ALRAHUZ TV,UCS51d99Vd6GHfmiZ_Pk9vpQ,18000,UUS51d99Vd6GHfmiZ_Pk9vpQ,166,1703702
6412243a8e1af74d0e3c7d99,New Candys,UCruXPKEhROYAA6v1Uh9smaQ,2900,UUruXPKEhROYAA6v1Uh9smaQ,18,663256
6412243a8e1af74d0e3c7d9a,TV ASAHI MUSIC,UClvt7FLjIobNc93MqL8p8ow,36100,UUlvt7FLjIobNc93MqL8p8ow,31,107120916
6412243a8e1af74d0e3c7d9b,EOW JPN,UCbv7dkG5Zh6-U-J-WoTqwcg,7840,UUbv7dkG5Zh6-U-J-WoTqwcg,125,957372
6412243a8e1af74d0e3c7d9c,In-famous tg,UCye8_x7oBaH4nvphLn3TfvA,537,UUye8_x7oBaH4nvphLn3TfvA,5,5749
6412243a8e1af74d0e3c7d9d,YOU Entertainment,UCsrXUkIqkTT2qCt0emEe1Lw,43200,UUsrXUkIqkTT2qCt0emEe1Lw,1405,11470370
6412243a8e1af74d0e3c7d9e,O.T. Genasis,UCe0WYC4JoWndJ48PK1xRuJA,2220000,UUe0WYC4JoWndJ48PK1xRuJA,58,920010444
6412243a8e1af74d0e3c7d9f,Sevorai,UConSq_ZXsjCOfHsq3upVU-Q,408,UUonSq_ZXsjCOfHsq3upVU-Q,11,498883
6412243a8e1af74d0e3c7da0,MinutesTilMidnightHQ,UCFNvq87lM6Hw_IOONwC0vZw,6980,UUFNvq87lM6Hw_IOONwC0vZw,59,2497170
6412243a8e1af74d0e3c7da1,Sarina,UCsBsU1Ik4HSZ-wLVL7GTwqw,5520,UUsBsU1Ik4HSZ-wLVL7GTwqw,55,1181966
6412243a8e1af74d0e3c7da2,SG Official,UC84XdSlugg5QXYbNDAbxPsQ,407000,UU84XdSlugg5QXYbNDAbxPsQ,276,169053690
6412243a8e1af74d0e3c7da3,a子,UCOeG6YTLjO7JApWPl_q0D-A,18100,UUOeG6YTLjO7JApWPl_q0D-A,29,2205877
6412243a8e1af74d0e3c7da4,E-girls Official YouTube Channel,UCdvk8_cUzFZZD0Kv5UVLM-A,28400,UUdvk8_cUzFZZD0Kv5UVLM-A,21,15923422
6412243a8e1af74d0e3c7da5,まるり Official Channel,UCjy9O6T3nobpVDsLfnZ7Evw,70000,UUjy9O6T3nobpVDsLfnZ7Evw,123,13043984
6412243a8e1af74d0e3c7da6,friend zone,UCLViD3boRAdEUHGHOGcg3cw,1910,UULViD3boRAdEUHGHOGcg3cw,48,531812
6412243a8e1af74d0e3c7da7,Loney Dear,UCUJ1sySerraRd_cwmBiSqHA,2390,UUUJ1sySerraRd_cwmBiSqHA,60,786412
6412243a8e1af74d0e3c7da8,MiyaviVEVO,UCDxR8vsnz_zBckPWj3wEVOQ,109000,UUDxR8vsnz_zBckPWj3wEVOQ,30,53920670
6412243a8e1af74d0e3c7da9,みさき,UCmjKeGifH_FhPqxy67KPRqw,124000,UUmjKeGifH_FhPqxy67KPRqw,96,12464784
6412243a8e1af74d0e3c7daa,Hades The Pineapple,UCqUkIz87PLsAuXJymb9c2Zg,139,UUqUkIz87PLsAuXJymb9c2Zg,15,308331
6412243a8e1af74d0e3c7dab,4Minute 포미닛(Official YouTube Channel),UC_Dm4o5UrbPr2uvM7VPUR6g,2140000,UU_Dm4o5UrbPr2uvM7VPUR6g,82,1364930658
6412243a8e1af74d0e3c7dac,𝐿𝒾𝓋𝑒 𝒯𝓊𝓃𝑒,UCMnN6lCdZxB8T1Y5NpCZYJw,3,UUMnN6lCdZxB8T1Y5NpCZYJw,10,178
6412243a8e1af74d0e3c7dad,andropmusic,UC6QLMTl92sueIA1m5IGS7yA,97900,UU6QLMTl92sueIA1m5IGS7yA,195,58800912
6412243a8e1af74d0e3c7dae,GENIC,UCvCtSa1pWNTC0GnnkhbJw-w,31800,UUvCtSa1pWNTC0GnnkhbJw-w,169,11383477
6412243a8e1af74d0e3c7daf,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,69600000,UU3IZKseVpdzPSBaWxBxundA,1118,969135165
6412243a8e1af74d0e3c7db0,BenandBenVEVO,UCldWqVqj0SozwVmVhV9LVmQ,476,UUldWqVqj0SozwVmVhV9LVmQ,31,103357474
6412243a8e1af74d0e3c7db1,The Circle Pit,UC1rA59h7xw_o0ZCp2DzuTxg,49600,UU1rA59h7xw_o0ZCp2DzuTxg,1726,12211687
6412243a8e1af74d0e3c7db2,SabaoOfficial,UCq8_LzrYYy118hfLGSrrN1A,2420,UUq8_LzrYYy118hfLGSrrN1A,7,366764
6412243a8e1af74d0e3c7db3,Nikee Filmz,UCXPkSbcmCHlREgwgEOFS6ZQ,2560,UUXPkSbcmCHlREgwgEOFS6ZQ,134,538602
6412243a8e1af74d0e3c7db4,raji Official,UC4zY44KFXhBtmXk0V_b3oRw,529,UU4zY44KFXhBtmXk0V_b3oRw,146,40080
6412243a8e1af74d0e3c7db5,久保あおい,UCQY7gFOuu0hF2v56CjfOXbA,20700,UUQY7gFOuu0hF2v56CjfOXbA,68,4398066
6412243a8e1af74d0e3c7db6,優里ちゃんねる【公式】,UC7MvTslTWkE1HKNYkXiGv1Q,1370000,UU7MvTslTWkE1HKNYkXiGv1Q,928,368600195
6412243a8e1af74d0e3c7db7,OneManReacts,UCxBbvHs14otMCEeIYhw4ghw,6050,UUxBbvHs14otMCEeIYhw4ghw,757,665447
6412243a8e1af74d0e3c7db8,MASTER SINGER IMPRESSIONIST JOEY VOICES,UC-oRW4WS7VcNc3Q00684jWQ,1340,UU-oRW4WS7VcNc3Q00684jWQ,46,542981
